"","ID","consumption_unit_total","calendar_month","community","year","temperature","NumOfConnected-COMMELEC","NumOfConnected-FREENRESIE","NumOfConnected-FREERESIE","NumOfConnected-GOVTELEC","NumOfConnected-INDTELEC","NumOfConnected-RESIEXPE","NumOfConnected-RESINATE","NumOfConnected-RESINATSE","NumOfConnected-ENORATE","NumOfConnected-TOTAL","Expat_Ratio","Community.Name","One.Storey.Building","Multi.Storey.Building","Multi.Storey.Ratio.Building","Private.Villa","Investment.Villa","Arabic.House","Public.Building","Industrial.Building","Other.Buildings","Total.Buildings","population","Avg_Consumption_per_person","population_density"
"1","201704-111",4539462.39,"201704","111","2017",30.8,28,0,0,13,0,0,0,0,0,41,NA,"AL CORNICHE",0,2,0,0,0,0,4,0,0,6,1550,2928.68541290323,258.333333333333
"2","201704-112",10012335.521,"201704","112","2017",30.8,3000,0,0,22,0,1044,9,0,0,4075,0.991452991452991,"AL RAS",0,204,0,0,0,12,185,0,0,401,6621,1512.20895952273,16.5112219451372
"3","201704-113",12634208.505,"201704","113","2017",30.8,3158,0,0,4,0,1499,6,0,0,4667,0.996013289036545,"AL DAGHAYA",0,307,0,0,0,21,55,0,0,383,14963,844.363329880372,39.0678851174935
"4","201704-114",10037987.06,"201704","114","2017",30.8,3317,0,0,4,0,594,1,0,0,3916,0.998319327731092,"AL BUTEEN",0,174,0,0,0,1,157,0,0,332,2563,3916.49904799064,7.71987951807229
"5","201704-115",6275032.022,"201704","115","2017",30.8,1304,0,0,8,0,288,0,0,0,1600,1,"AL SABKHA",0,73,0,0,0,0,33,0,0,106,3750,1673.34187253333,35.377358490566
"6","201704-116",13688009.12,"201704","116","2017",30.8,2737,0,1,9,0,2382,9,0,0,5138,0.996235884567127,"AYAL NASIR",0,250,0,0,0,11,20,0,0,281,18512,739.412765773552,65.8790035587189
"7","201704-117",24428209.552,"201704","117","2017",30.8,7573,0,0,7,0,6183,21,0,0,13784,0.996615087040619,"AL MURAR",1,529,0,0,0,11,30,0,0,571,37371,653.667537716411,65.4483362521891
"8","201704-118",41775987.267,"201704","118","2017",30.8,11021,0,0,15,0,7391,37,1,0,18465,0.994884910485934,"NAIF",2,678,0,4,0,42,114,0,0,840,47497,879.550019306482,56.5440476190476
"9","201704-119",36467584.266,"201704","119","2017",30.8,2055,0,0,38,0,2027,21,0,0,4141,0.98974609375,"AL RIGGA",0,94,0,0,0,2,44,0,0,140,9976,3655.53170268645,71.2571428571429
"10","201704-121",89792.58,"201704","121","2017",30.8,3,0,2,7,0,0,0,0,0,12,NA,"CORNICHE DEIRA",0,0,0,0,0,0,8,0,0,8,14,6413.75571428571,1.75
"11","201704-122",16695067.849,"201704","122","2017",30.8,707,0,0,39,0,4648,125,1,0,5520,0.973607038123167,"AL BARAHA",2,200,0,92,180,20,37,0,1,532,23838,700.355224809128,44.8082706766917
"12","201704-123",25912799.083,"201704","123","2017",30.8,1198,0,3,27,0,4787,136,6,0,6157,0.971190910935281,"AL MUTEENA",10,393,0,128,171,118,63,0,0,883,42804,605.382653093169,48.475651189128
"13","201704-124",83796524.484,"201704","124","2017",30.8,3694,0,1,41,0,10784,125,4,0,14649,0.988179235773848,"AL MURAQQABAT",0,411,0,5,0,25,75,0,0,516,68058,1231.25164542008,131.895348837209
